code,system
E21..00,readv2
E212000,readv2
E215000,readv2
Eu60z00,readv2
E212100,readv2
E212200,readv2
E213.12,readv2
E214.11,readv2
E216.13,readv2
E21y600,readv2
E21yz11,readv2
E21z.00,readv2
Eu60013,readv2
Eu60200,readv2
Eu60213,readv2
Eu60713,readv2
Eu60714,readv2
Eu60800,readv2
Eu60y12,readv2
Eu60z11,readv2
Eu60z12,readv2
105029.0,med
1293.0,med
1364.0,med
14747.0,med
15098.0,med
15960.0,med
17420.0,med
18565.0,med
19931.0,med
20033.0,med
2076.0,med
20839.0,med
20881.0,med
21077.0,med
21338.0,med
21665.0,med
21671.0,med
22259.0,med
23597.0,med
23977.0,med
25146.0,med
2729.0,med
27481.0,med
27803.0,med
27945.0,med
28227.0,med
30395.0,med
30603.0,med
31632.0,med
31789.0,med
31819.0,med
32869.0,med
3369.0,med
33741.0,med
34456.0,med
35642.0,med
35763.0,med
36043.0,med
3709.0,med
37289.0,med
38031.0,med
38100.0,med
38371.0,med
39011.0,med
39535.0,med
40057.0,med
40104.0,med
42496.0,med
43690.0,med
44242.0,med
4515.0,med
45188.0,med
4759.0,med
48687.0,med
48796.0,med
49600.0,med
49721.0,med
49779.0,med
50188.0,med
50348.0,med
52465.0,med
53335.0,med
55969.0,med
56502.0,med
5652.0,med
57567.0,med
58693.0,med
59008.0,med
60522.0,med
61969.0,med
6339.0,med
67130.0,med
67590.0,med
68042.0,med
69000.0,med
69185.0,med
70899.0,med
71431.0,med
7745.0,med
792.0,med
8424.0,med
94096.0,med
E215300,readv2
Eu60412,readv2
E21y100,readv2
Eu60600,readv2
E21y200,readv2
Eu60312,readv2
E21y500,readv2
Eu60y13,readv2
F60,icd10
F61,icd10